trip_id,dispatched_at,en_route_at,arrived_at,actual_travel_duration_sec,arrival_source,distance_km,google_eta_sec,google_eta_captured_at,city,locality,sector,service_area,service_category,hour,day_of_week,is_weekend,weather_condition,temperature_c,rain_mm,visibility_km,traffic_level,provider_availability_count,demand_level,surge_multiplier,estimated_wait_before_dispatch_sec,quality_score,validation_status,validation_flags,is_synthetic,is_training_eligible
SYN-ETA-000011,2024-05-14T19:48:09,2024-05-14T19:48:15,2024-05-14T19:58:27.800000,612.8,gps_geofence,2.17,506.9,2024-05-14T19:48:09,Gurugram,DLF The Aralias,Sector 75,Gurugram-DLF The Aralias,AC Service,19,1,0,dust,41.5,0.0,2.5,HIGH,8,NORMAL,1.0,6.0,0.815,PASS,none,True,False
SYN-ETA-000012,2024-06-27T08:40:49,2024-06-27T08:40:49.400000,2024-06-27T09:18:56.200000,2286.8,job_start,4.15,1277.1,2024-06-27T08:40:49,Gurugram,Sector 42,Sector 44,Gurugram-Sector 42,AC Service,8,3,0,rain,30.0,0.1,2.5,SEVERE,5,NORMAL,1.0,0.4,0.858,PASS,none,True,False
SYN-ETA-000013,2024-03-29T06:01:45,2024-03-29T06:01:47.700000,2024-03-29T06:07:40.500000,352.8,gps_geofence,3.59,337.9,2024-03-29T06:01:45,Delhi,Greater Kailash,Sector 75,Delhi-Greater Kailash,Cleaning,6,4,0,partly_cloudy,40.5,0.0,8.0,LOW,11,LOW,1.0,2.7,0.919,PASS,none,True,False
SYN-ETA-000014,2024-03-12T09:57:00,2024-03-12T09:57:07.600000,2024-03-12T10:13:35.700000,988.1,gps_geofence,4.1,721.8,2024-03-12T09:57:00,Delhi,Chanakyapuri,Sector 45,Delhi-Chanakyapuri,Appliance Repair,9,1,0,partly_cloudy,34.3,0.0,8.0,HIGH,5,NORMAL,1.0,7.6,0.834,PASS,none,True,False
SYN-ETA-000015,2024-02-23T09:57:26,2024-02-23T09:57:49.900000,2024-02-23T10:11:52.800000,842.9,gps_geofence,3.85,720.3,2024-02-23T09:57:26,Delhi,Saket,Sector 44,Delhi-Saket,Appliance Repair,9,4,0,clear,15.3,0.0,10.0,HIGH,4,HIGH,1.2,23.9,0.734,PASS,none,True,False
SYN-ETA-000016,2024-04-04T17:42:08,2024-04-04T17:42:10.700000,2024-04-04T17:50:30.800000,500.1,gps_geofence,1.58,308.5,2024-04-04T17:42:08,Gurugram,Cyber City,Sector 75,Gurugram-Cyber City,Plumbing,17,3,0,dust,38.3,0.0,2.5,HIGH,5,NORMAL,1.0,2.7,0.773,PASS,none,True,False
SYN-ETA-000017,2024-01-04T17:49:27,2024-01-04T17:49:51.500000,2024-01-04T18:08:43.900000,1132.4,gps_geofence,4.39,746.0,2024-01-04T17:49:27,Delhi,Greater Kailash,Sector 62,Delhi-Greater Kailash,Cleaning,17,3,0,clear,23.2,0.0,10.0,HIGH,8,NORMAL,1.0,24.5,0.632,PASS,none,True,False
SYN-ETA-000018,2024-02-26T20:07:40,2024-02-26T20:08:10.300000,2024-02-26T20:20:57.400000,767.1,gps_geofence,5.6,639.7,2024-02-26T20:07:40,Noida,Sector 50,Sector 93,Noida-Sector 50,Appliance Repair,20,0,0,partly_cloudy,21.8,0.0,8.0,MODERATE,8,HIGH,1.2,30.3,0.67,PASS,none,True,False
SYN-ETA-000019,2024-03-23T10:13:11,2024-03-23T10:14:17.200000,2024-03-23T10:25:01.700000,644.5,gps_geofence,4.38,562.4,2024-03-23T10:13:11,Noida,Sector 62,Sector 62,Noida-Sector 62,Cleaning,10,5,1,clear,36.7,0.0,10.0,MODERATE,5,VERY_HIGH,1.5,66.2,0.848,PASS,none,True,False
SYN-ETA-000020,2024-03-10T18:36:23,2024-03-10T18:36:36.600000,2024-03-10T18:44:09.200000,452.6,gps_geofence,1.86,374.3,2024-03-10T18:36:23,Delhi,Saket,Sector 55,Delhi-Saket,AC Service,18,6,1,clear,37.7,0.0,10.0,HIGH,5,VERY_HIGH,1.5,13.6,0.849,PASS,none,True,False
SYN-ETA-000021,2024-01-02T09:52:38,2024-01-02T09:52:51.200000,2024-01-02T09:56:19.500000,208.3,gps_geofence,1.43,174.2,2024-01-02T09:52:38,Gurugram,Sushant Lok,Sector 50,Gurugram-Sushant Lok,Appliance Repair,9,1,0,clear,28.6,0.0,10.0,MODERATE,7,HIGH,1.2,13.2,0.654,PASS,none,True,False
SYN-ETA-000022,2024-04-19T09:34:26,2024-04-19T09:34:52.700000,2024-04-19T09:45:11.900000,619.2,gps_geofence,3.09,453.9,2024-04-19T09:34:26,Delhi,Greater Kailash,Sector 50,Delhi-Greater Kailash,Plumbing,9,4,0,dust,45.2,0.0,2.5,MODERATE,6,HIGH,1.2,26.7,0.859,PASS,none,True,False
SYN-ETA-000023,2024-02-17T08:08:16,2024-02-17T08:08:24.200000,2024-02-17T08:24:15.100000,950.9,gps_geofence,4.04,791.3,2024-02-17T08:08:16,Noida,Sector 100,Sector 42,Noida-Sector 100,General Handyman,8,5,1,clear,26.9,0.0,10.0,HIGH,9,HIGH,1.2,8.2,0.911,PASS,none,True,False
SYN-ETA-000024,2024-06-16T18:47:13,2024-06-16T18:47:23.700000,2024-06-16T19:07:43,1219.3,gps_geofence,4.53,944.6,2024-06-16T18:47:13,Gurugram,Cyber City,Sector 42,Gurugram-Cyber City,Electrical,18,6,1,rain,29.9,4.5,2.5,HIGH,4,NORMAL,1.0,10.7,0.859,PASS,none,True,False
SYN-ETA-000025,2024-05-20T18:35:05,2024-05-20T18:35:05.900000,2024-05-20T19:27:09,3123.1,gps_geofence,6.73,2031.7,2024-05-20T18:35:05,Noida,Greater Noida West,Sector 50,Noida-Greater Noida West,Deep Cleaning,18,0,0,clear,31.4,0.0,10.0,SEVERE,7,NORMAL,1.0,0.9,0.521,PASS,none,True,False
SYN-ETA-000026,2024-04-15T21:16:06,2024-04-15T21:16:19,2024-04-15T21:50:10.300000,2031.3,gps_geofence,4.13,1181.8,2024-04-15T21:16:06,Gurugram,Sushant Lok,Sector 42,Gurugram-Sushant Lok,General Handyman,21,0,0,clear,39.0,0.0,10.0,SEVERE,11,HIGH,1.2,13.0,0.86,PASS,none,True,False
SYN-ETA-000027,2024-02-02T18:16:09,2024-02-02T18:16:10.700000,2024-02-02T19:03:50.800000,2860.1,job_start,5.84,1671.8,2024-02-02T18:16:09,Gurugram,Sector 43,Sector 52,Gurugram-Sector 43,Electrical,18,4,0,clear,19.5,0.0,10.0,SEVERE,2,HIGH,1.2,1.7,0.866,PASS,none,True,False
SYN-ETA-000028,2024-05-21T09:16:04,2024-05-21T09:16:12.900000,2024-05-21T09:29:49.100000,816.2,job_start,3.47,628.5,2024-05-21T09:16:04,Gurugram,Sector 44,Sector 45,Gurugram-Sector 44,General Handyman,9,1,0,clear,39.0,0.0,10.0,HIGH,6,NORMAL,1.0,8.9,0.548,PASS,none,True,False
SYN-ETA-000029,2024-06-02T09:26:10,2024-06-02T09:26:12.300000,2024-06-02T09:39:58.500000,826.2,job_start,6.56,787.6,2024-06-02T09:26:10,Noida,Sector 100,Sector 75,Noida-Sector 100,Pest Control,9,6,1,clear,31.2,0.0,10.0,MODERATE,10,NORMAL,1.0,2.3,0.981,PASS,none,True,False
SYN-ETA-000030,2024-02-26T18:23:33,2024-02-26T18:23:37.900000,2024-02-26T18:35:35.700000,717.8,gps_geofence,2.64,431.4,2024-02-26T18:23:33,Gurugram,DLF The Crest,Sector 62,Gurugram-DLF The Crest,Cleaning,18,0,0,partly_cloudy,8.1,0.0,8.0,HIGH,4,NORMAL,1.0,4.9,0.633,PASS,none,True,False
SYN-ETA-000031,2024-04-12T06:16:10,2024-04-12T06:16:14.900000,2024-04-12T06:22:52.300000,397.4,gps_geofence,2.71,325.1,2024-04-12T06:16:10,Gurugram,DLF The Camellias,Sector 62,Gurugram-DLF The Camellias,Cleaning,6,4,0,partly_cloudy,41.6,0.0,8.0,MODERATE,4,LOW,1.0,4.9,0.739,PASS,none,True,False
SYN-ETA-000032,2024-01-26T18:12:42,2024-01-26T18:12:42.700000,2024-01-26T18:28:45.700000,963.0,gps_geofence,4.25,803.2,2024-01-26T18:12:42,Gurugram,DLF The Aralias,Sector 42,Gurugram-DLF The Aralias,Deep Cleaning,18,4,0,partly_cloudy,12.4,0.0,8.0,HIGH,6,LOW,1.0,0.7,0.666,PASS,none,True,False
SYN-ETA-000033,2024-02-23T10:43:42,2024-02-23T10:43:58.600000,2024-02-23T10:59:19.800000,921.2,gps_geofence,2.6,622.6,2024-02-23T10:43:42,Noida,Sector 93A,Sector 43,Noida-Sector 93A,Cleaning,10,4,0,fog,14.3,0.0,2.5,HIGH,7,NORMAL,1.0,16.6,0.885,PASS,none,True,False
SYN-ETA-000034,2024-02-20T18:51:26,2024-02-20T18:52:40.900000,2024-02-20T19:40:37.800000,2876.9,gps_geofence,4.73,1756.7,2024-02-20T18:51:26,Delhi,Chanakyapuri,Sector 42,Delhi-Chanakyapuri,Deep Cleaning,18,1,0,fog,11.6,0.0,2.5,SEVERE,2,VERY_HIGH,1.5,74.9,0.534,PASS,none,True,False
SYN-ETA-000035,2024-04-15T18:51:42,2024-04-15T18:51:58.900000,2024-04-15T19:04:15.400000,736.5,gps_geofence,4.68,554.2,2024-04-15T18:51:42,Delhi,Vasant Kunj,Sector 51,Delhi-Vasant Kunj,Beauty/Salon,18,0,0,clear,40.3,0.0,10.0,MODERATE,6,NORMAL,1.0,16.9,0.881,PASS,none,True,False
SYN-ETA-000036,2024-01-01T18:28:49,2024-01-01T18:28:50.100000,2024-01-01T18:41:06.600000,736.5,gps_geofence,5.05,626.2,2024-01-01T18:28:49,Noida,Sector 50,Sector 51,Noida-Sector 50,Cleaning,18,0,0,partly_cloudy,19.2,0.0,8.0,MODERATE,5,NORMAL,1.0,1.1,0.873,PASS,none,True,False
SYN-ETA-000037,2024-03-05T08:40:16,2024-03-05T08:40:16.200000,2024-03-05T08:55:27.200000,911.0,gps_geofence,3.64,677.9,2024-03-05T08:40:16,Gurugram,Sector 43,Sector 43,Gurugram-Sector 43,Electrical,8,1,0,partly_cloudy,38.5,0.0,8.0,HIGH,2,VERY_HIGH,1.5,0.2,0.553,PASS,none,True,False
SYN-ETA-000038,2024-02-16T08:03:33,2024-02-16T08:03:34.500000,2024-02-16T08:23:38,1203.5,gps_geofence,8.48,1093.1,2024-02-16T08:03:33,Delhi,Greater Kailash,Sector 93,Delhi-Greater Kailash,AC Service,8,4,0,clear,17.8,0.0,10.0,MODERATE,6,NORMAL,1.0,1.5,0.988,PASS,none,True,False
SYN-ETA-000039,2024-04-07T09:52:06,2024-04-07T09:52:17,2024-04-07T10:03:46.900000,689.9,job_start,2.76,519.7,2024-04-07T09:52:06,Gurugram,Sector 43,Sector 55,Gurugram-Sector 43,Cleaning,9,6,1,clear,36.3,0.0,10.0,HIGH,7,NORMAL,1.0,11.0,0.876,PASS,none,True,False
SYN-ETA-000040,2024-03-27T08:30:30,2024-03-27T08:30:45.200000,2024-03-27T08:46:51,965.8,job_start,4.29,788.0,2024-03-27T08:30:30,Delhi,Sunder Nagar,Sector 42,Delhi-Sunder Nagar,Electrical,8,2,0,partly_cloudy,38.0,0.0,8.0,HIGH,7,VERY_HIGH,1.5,15.2,0.844,PASS,none,True,False
SYN-ETA-000041,2024-01-06T09:22:16,2024-01-06T09:22:32.900000,2024-01-06T09:42:49.400000,1216.5,gps_geofence,4.71,835.6,2024-01-06T09:22:16,Gurugram,Cyber City,Sector 50,Gurugram-Cyber City,Deep Cleaning,9,5,1,clear,16.2,0.0,10.0,HIGH,6,VERY_HIGH,1.5,16.9,0.81,PASS,none,True,False
SYN-ETA-000042,2024-03-20T18:05:16,2024-03-20T18:05:29.300000,2024-03-20T18:22:03.400000,994.1,gps_geofence,3.67,808.5,2024-03-20T18:05:16,Delhi,Greater Kailash,Sector 45,Delhi-Greater Kailash,Beauty/Salon,18,2,0,dust,34.6,0.0,2.5,HIGH,5,LOW,1.0,13.3,0.712,PASS,none,True,False
SYN-ETA-000043,2024-06-11T15:37:32,2024-06-11T15:37:32.600000,2024-06-11T15:59:12.900000,1300.3,job_start,5.09,944.3,2024-06-11T15:37:32,Noida,Sector 50,Sector 44,Noida-Sector 50,Cleaning,15,1,0,cloudy,26.8,0.0,8.0,HIGH,5,NORMAL,1.0,0.6,0.905,PASS,none,True,False
SYN-ETA-000044,2024-04-29T15:42:38,2024-04-29T15:42:47,2024-04-29T15:52:20.100000,573.1,job_start,4.39,510.2,2024-04-29T15:42:38,Delhi,Greater Kailash,Sector 75,Delhi-Greater Kailash,AC Service,15,0,0,clear,37.4,0.0,10.0,MODERATE,8,NORMAL,1.0,9.0,0.735,PASS,none,True,False
SYN-ETA-000045,2024-02-25T20:15:07,2024-02-25T20:15:19.700000,2024-02-25T20:36:12.100000,1252.4,gps_geofence,8.05,984.1,2024-02-25T20:15:07,Gurugram,Sector 44,Sector 62,Gurugram-Sector 44,Carpentry,20,6,1,partly_cloudy,18.1,0.0,8.0,MODERATE,6,NORMAL,1.0,12.7,0.679,PASS,none,True,False
SYN-ETA-000046,2024-03-25T09:47:22,2024-03-25T09:47:23.400000,2024-03-25T09:59:03.500000,700.1,gps_geofence,2.39,436.8,2024-03-25T09:47:22,Noida,Sector 44,Sector 43,Noida-Sector 44,Carpentry,9,0,0,cloudy,34.6,0.0,8.0,HIGH,4,NORMAL,1.0,1.4,0.893,PASS,none,True,False
SYN-ETA-000047,2024-05-27T17:42:34,2024-05-27T17:42:35.900000,2024-05-27T17:48:16.600000,340.7,job_start,2.04,267.9,2024-05-27T17:42:34,Delhi,Saket,Sector 55,Delhi-Saket,Beauty/Salon,17,0,0,dust,39.2,0.0,2.5,MODERATE,4,NORMAL,1.0,1.9,0.965,PASS,none,True,False
SYN-ETA-000048,2024-04-16T20:20:43,2024-04-16T20:20:43.100000,2024-04-16T20:39:26.500000,1123.4,gps_geofence,4.31,808.6,2024-04-16T20:20:43,Gurugram,DLF The Belaire,Sector 42,Gurugram-DLF The Belaire,Deep Cleaning,20,1,0,cloudy,34.9,0.0,8.0,HIGH,9,NORMAL,1.0,0.1,0.914,PASS,none,True,False
SYN-ETA-000049,2024-04-08T18:49:09,2024-04-08T18:49:12.300000,2024-04-08T19:35:01.400000,2749.1,gps_geofence,6.11,1800.5,2024-04-08T18:49:09,Gurugram,DLF The Aralias,Sector 50,Gurugram-DLF The Aralias,Electrical,18,0,0,cloudy,39.2,0.0,8.0,SEVERE,8,NORMAL,1.0,3.3,0.821,PASS,none,True,False
SYN-ETA-000050,2024-06-18T19:44:35,2024-06-18T19:44:43.800000,2024-06-18T20:02:34,1070.2,gps_geofence,4.23,761.1,2024-06-18T19:44:35,Noida,Sector 44,Sector 52,Noida-Sector 44,Plumbing,19,1,0,cloudy,23.5,0.0,8.0,HIGH,8,HIGH,1.2,8.8,0.799,PASS,none,True,False
SYN-ETA-000051,2024-05-11T10:15:04,2024-05-11T10:15:24.200000,2024-05-11T10:26:53.800000,689.6,job_start,5.21,644.7,2024-05-11T10:15:04,Delhi,Saket,Sector 55,Delhi-Saket,Cleaning,10,5,1,clear,35.3,0.0,10.0,MODERATE,6,NORMAL,1.0,20.2,0.678,PASS,none,True,False
SYN-ETA-000052,2024-05-22T08:11:29,2024-05-22T08:11:31.900000,2024-05-22T08:20:41.500000,549.6,job_start,2.26,397.7,2024-05-22T08:11:29,Delhi,Defence Colony,Sector 42,Delhi-Defence Colony,Plumbing,8,2,0,clear,36.7,0.0,10.0,HIGH,6,NORMAL,1.0,2.9,0.923,PASS,none,True,False
SYN-ETA-000053,2024-04-06T08:13:02,2024-04-06T08:13:05.900000,2024-04-06T08:45:51,1965.1,gps_geofence,4.06,1282.7,2024-04-06T08:13:02,Delhi,Vasant Vihar,Sector 75,Delhi-Vasant Vihar,Electrical,8,5,1,partly_cloudy,46.2,0.0,8.0,SEVERE,9,NORMAL,1.0,3.9,0.686,PASS,none,True,False
SYN-ETA-000054,2024-03-10T10:57:36,2024-03-10T10:58:03,2024-03-10T11:05:47.400000,464.4,gps_geofence,3.67,450.5,2024-03-10T10:57:36,Gurugram,Sector 44,Sector 45,Gurugram-Sector 44,Beauty/Salon,10,6,1,partly_cloudy,36.1,0.0,8.0,MODERATE,4,HIGH,1.2,27.0,0.981,PASS,none,True,False
SYN-ETA-000055,2024-06-12T09:22:37,2024-06-12T09:22:45.100000,2024-06-12T10:27:36.700000,3891.6,gps_geofence,7.0,2274.5,2024-06-12T09:22:37,Gurugram,DLF The Magnolias,Sector 51,Gurugram-DLF The Magnolias,Appliance Repair,9,2,0,rain,31.1,25.4,2.5,SEVERE,8,LOW,1.0,8.1,0.777,REVIEW,long_trip,True,False
SYN-ETA-000056,2024-01-22T09:27:51,2024-01-22T09:28:11.100000,2024-01-22T09:53:36.200000,1525.1,gps_geofence,4.88,1012.2,2024-01-22T09:27:51,Noida,Sector 44,Sector 93,Noida-Sector 44,Deep Cleaning,9,0,0,dust,19.2,0.0,2.5,HIGH,7,HIGH,1.2,20.1,0.758,PASS,none,True,False
SYN-ETA-000057,2024-05-22T09:57:18,2024-05-22T09:57:30.700000,2024-05-22T10:10:15.400000,764.7,gps_geofence,3.73,738.8,2024-05-22T09:57:18,Gurugram,DLF The Crest,Sector 45,Gurugram-DLF The Crest,General Handyman,9,2,0,partly_cloudy,30.5,0.0,8.0,HIGH,8,NORMAL,1.0,12.7,0.922,PASS,none,True,False
SYN-ETA-000058,2024-02-10T10:07:06,2024-02-10T10:07:07.700000,2024-02-10T10:18:57.100000,709.4,gps_geofence,4.92,561.2,2024-02-10T10:07:06,Noida,Sector 93A,Sector 42,Noida-Sector 93A,Plumbing,10,5,1,partly_cloudy,5.0,0.0,8.0,MODERATE,6,NORMAL,1.0,1.7,0.528,PASS,none,True,False
SYN-ETA-000059,2024-02-02T09:35:31,2024-02-02T09:35:48,2024-02-02T09:52:29.800000,1001.8,gps_geofence,4.64,904.8,2024-02-02T09:35:31,Delhi,Saket,Sector 93,Delhi-Saket,Plumbing,9,4,0,clear,14.1,0.0,10.0,HIGH,11,NORMAL,1.0,17.0,0.808,PASS,none,True,False
SYN-ETA-000060,2024-03-24T09:57:00,2024-03-24T09:57:30.200000,2024-03-24T10:12:27,896.8,gps_geofence,2.99,621.1,2024-03-24T09:57:00,Delhi,Golf Links,Sector 43,Delhi-Golf Links,Cleaning,9,6,1,dust,33.2,0.0,2.5,HIGH,8,NORMAL,1.0,30.2,0.757,PASS,none,True,False
SYN-ETA-000061,2024-01-18T08:51:22,2024-01-18T08:51:24.400000,2024-01-18T09:20:09.100000,1724.7,gps_geofence,6.32,1425.1,2024-01-18T08:51:22,Gurugram,Cyber City,Sector 44,Gurugram-Cyber City,Electrical,8,3,0,dust,13.2,0.0,2.5,HIGH,7,LOW,1.0,2.4,0.482,PASS,none,True,False
SYN-ETA-000062,2024-03-10T19:33:04,2024-03-10T19:33:07,2024-03-10T19:44:20.400000,673.4,gps_geofence,2.85,542.1,2024-03-10T19:33:04,Gurugram,DLF The Magnolias,Sector 55,Gurugram-DLF The Magnolias,Deep Cleaning,19,6,1,cloudy,29.9,0.0,8.0,HIGH,7,HIGH,1.2,3.0,0.67,PASS,none,True,False
SYN-ETA-000063,2024-04-26T10:57:32,2024-04-26T10:57:36.600000,2024-04-26T11:08:53.900000,677.3,job_start,2.33,475.5,2024-04-26T10:57:32,Noida,Sector 50,Sector 42,Noida-Sector 50,Deep Cleaning,10,4,0,dust,42.7,0.0,2.5,HIGH,8,LOW,1.0,4.6,0.759,PASS,none,True,False
SYN-ETA-000064,2024-05-04T15:58:28,2024-05-04T15:58:29.800000,2024-05-04T16:02:56.700000,266.9,gps_geofence,2.51,237.5,2024-05-04T15:58:28,Gurugram,Cyber City,Sector 75,Gurugram-Cyber City,Plumbing,15,5,1,partly_cloudy,32.5,0.0,8.0,LOW,6,NORMAL,1.0,1.8,0.861,PASS,none,True,False
SYN-ETA-000065,2024-03-30T22:04:36,2024-03-30T22:04:47.100000,2024-03-30T22:12:30.700000,463.6,gps_geofence,3.78,402.7,2024-03-30T22:04:36,Gurugram,DLF The Magnolias,Sector 51,Gurugram-DLF The Magnolias,Appliance Repair,22,5,1,dust,43.3,0.0,2.5,LOW,8,NORMAL,1.0,11.1,0.695,PASS,none,True,False
SYN-ETA-000066,2024-05-04T22:44:36,2024-05-04T22:45:03.900000,2024-05-04T22:56:07.600000,663.7,gps_geofence,6.14,675.5,2024-05-04T22:44:36,Delhi,New Friends Colony,Sector 43,Delhi-New Friends Colony,AC Service,22,5,1,dust,44.4,0.0,2.5,LOW,3,HIGH,1.2,27.9,0.726,PASS,none,True,False
SYN-ETA-000067,2024-04-12T09:21:52,2024-04-12T09:22:06.800000,2024-04-12T09:42:52.800000,1246.0,job_start,5.04,880.9,2024-04-12T09:21:52,Gurugram,Cyber City,Sector 52,Gurugram-Cyber City,Plumbing,9,4,0,clear,35.1,0.0,10.0,HIGH,4,NORMAL,1.0,14.8,0.717,PASS,none,True,False
SYN-ETA-000068,2024-06-05T09:36:50,2024-06-05T09:36:54.800000,2024-06-05T10:13:57.100000,2222.3,gps_geofence,6.45,1371.5,2024-06-05T09:36:50,Gurugram,DLF The Camellias,Sector 93,Gurugram-DLF The Camellias,Appliance Repair,9,2,0,heavy_rain,30.0,8.2,2.5,HIGH,8,NORMAL,1.0,4.8,0.971,PASS,none,True,False
SYN-ETA-000069,2024-04-25T11:32:18,2024-04-25T11:33:52.100000,2024-04-25T11:58:03,1450.9,gps_geofence,3.16,923.7,2024-04-25T11:32:18,Gurugram,DLF The Aralias,Sector 52,Gurugram-DLF The Aralias,Cleaning,11,3,0,clear,34.3,0.0,10.0,SEVERE,1,VERY_HIGH,1.5,94.1,0.785,PASS,none,True,False
SYN-ETA-000070,2024-01-14T17:31:44,2024-01-14T17:31:46.300000,2024-01-14T17:44:38.100000,771.8,gps_geofence,4.19,594.8,2024-01-14T17:31:44,Delhi,Greater Kailash,Sector 52,Delhi-Greater Kailash,Electrical,17,6,1,dust,12.7,0.0,2.5,MODERATE,5,NORMAL,1.0,2.3,0.805,PASS,none,True,False
SYN-ETA-000071,2024-03-05T18:45:10,2024-03-05T18:45:25.700000,2024-03-05T19:02:44.600000,1038.9,gps_geofence,3.57,755.4,2024-03-05T18:45:10,Noida,Sector 50,Sector 62,Noida-Sector 50,Cleaning,18,1,0,dust,32.9,0.0,2.5,HIGH,5,NORMAL,1.0,15.7,0.822,PASS,none,True,False
SYN-ETA-000072,2024-03-21T17:14:41,2024-03-21T17:15:00.900000,2024-03-21T17:29:51.800000,890.9,job_start,2.79,521.2,2024-03-21T17:14:41,Delhi,Greater Kailash,Sector 75,Delhi-Greater Kailash,Electrical,17,3,0,dust,36.0,0.0,2.5,HIGH,7,NORMAL,1.0,19.9,0.796,PASS,none,True,False
SYN-ETA-000073,2024-01-08T09:12:34,2024-01-08T09:12:37.200000,2024-01-08T09:24:11.900000,694.7,gps_geofence,3.01,586.1,2024-01-08T09:12:34,Delhi,New Friends Colony,Sector 45,Delhi-New Friends Colony,AC Service,9,0,0,partly_cloudy,16.3,0.0,8.0,HIGH,6,LOW,1.0,3.2,0.874,PASS,none,True,False
SYN-ETA-000074,2024-05-22T20:46:35,2024-05-22T20:46:35.100000,2024-05-22T21:01:18.700000,883.6,gps_geofence,4.45,860.4,2024-05-22T20:46:35,Noida,Sector 93A,Sector 43,Noida-Sector 93A,Beauty/Salon,20,2,0,partly_cloudy,36.4,0.0,8.0,HIGH,5,VERY_HIGH,1.5,0.1,0.739,PASS,none,True,False
